Chapter Members,Afdeling Leden,
Check,Controleren,
City,Stad,
Claim Date,Claimdatum,
Claimed Amount,Geclaimd Bedrag,
Closed,Gesloten,
Communication,Communicatie,
Company,Bedrijf,
Company Name,Bedrijfsnaam,
Complaint,Klacht,
Complete,Voltooien,
Completed,Voltooid,
Condition,Voorwaarde,
Contact,Contact,
Contact Email,Contact E-mail,
Contact HTML,Contact HTML,
Contact Information,Contactgegevens,
Contact Number,Contactnummer,
Contact Person,Contactpersoon,
Content,Inhoud,
Cost Center,Kostenplaats,
Cost Center Name,Kostenplaats Naam,
Country,Land,
Create,Creëren,
Create User,Gebruiker Aanmaken,
Creation User,Creatie Gebruiker,
Credit Card,Kredietkaart,
Currency,Valuta,
Current,Actueel,
Current Address,Huidig Adres,
Current Amount,Huidig Bedrag,
Custom,Aangepast,
Custom Script,Aangepaste Script,
Customer,Klant,
Customization,Maatwerk,
Daily,Dagelijks,
Dashboard,Dashboard,
Data Export,Gegevens Exporteren,
Data Import,Gegevens Importeren,
Date,Datum,
Date Range,Datumbereik,
Date of Birth,Geboortedatum,
Days,Dagen,
Debit Account,Debetrekening,
Default Cash Account,Standaard Kasrekening,
Default Cost Center,Standaard Kostenplaats,
Default Item Group,Standaard Artikelgroep,
Default Tax Template,Standaard Belasting Sjabloon,
Description,Beschrijving,
Details,Details,
Disabled,Uitgeschakeld,
Donor,Donateur,
Donor Name,Donornaam,
Donor Type,Donor Type,
Download Template,Download Template,
Draft,Concept,
Due Date,Vervaldatum,
Duplicate Entry,Dubbele invoer,
Duration,Looptijd,
Edit,Bewerk,
Email,E-mail,
Email Address,E-mailadres,
Email Template,E-mailsjabloon,
Employee,Medewerker,
Employee ID,Werknemer ID,
Enabled,Ingeschakeld,
End Date,Einddatum,
Entity Name,Entiteit Naam,
Equals,Is gelijk aan,
Error,Fout,
Error Log,Foutlog,
Error Message,Foutmelding,
Event,Evenement,
Event Details,Evenement Details,
Event Type,Evenementtype,
Excel,Excel,
Exception,Uitzondering,
Execute,Uitvoeren,
Expected Amount,Verwacht Bedrag,
Expected End Date,Verwachte Einddatum,
Expense Account,Kostenrekening,
Expense Claim,Kostendeclaratie,
Expense Date,Kosten Datum,
Expense Type,Uitgaventype,
Expenses,Uitgaven,
Expert,Deskundige,
Expired,Verlopen,
Expiring Memberships,Verlopen Lidmaatschappen,
Expiry Date,Vervaldatum,
Export,Exporteren,
Failed,Gefaald,
File Name,Bestandsnaam,
First Name,Voornaam,
Fiscal Year,Boekjaar,
Follow Up Date,Vervolgdatum,
Footer,Voettekst,
Frequency,Frequentie,
From,Van,
From Date,Van Datum,
Fulfilled,Vervuld,
Full Name,Volledige Naam,
General,Algemeen,
Germany,Germany,
Get Items,Haal Items Op,
Goal,Doel,
Goals,Doelen,
Grace Period,Uitstelperiode,
Header Image,Kopafbeelding,
Hello,Hallo,
Help,Help,
High,Hoog,
Hourly,Per Uur,
Hours,Uren,
IBAN,IBAN,
ID,ID,
IP Address,IP-adres,
Image,Afbeelding,
Import,Importeren,
Import Status,Importstatus,
Import Type,Importtype,
In Progress,Bezig,
Inactive,Inactief,
Individual,Individueel,
Interests,Interesses,
Intermediate,Gemiddeld,
Introduction,Introductie,
Invoice,Factuur,
Invoice Date,Factuurdatum,
Invoice Print Format,Factuur Afdrukformaat,
Invoices,Facturen,
Is Active,Is Actief,
Is Default,Is Standaard,
Is Public,Is Openbaar,
Issues,Kwesties,
July,juli-,
June,juni-,
Keyboard Shortcuts,Sneltoetsen,
Last Login,Laatst Ingelogd,
Last Name,Achternaam,
Last Year,Vorig Jaar,
Lead Source,Lead Bron,
Leave Reason,Reden voor Vertrek,
Level,Niveau,
Link,Koppeling,
Links,Links,
List,Lijst,
Low,Laag,
Manual,Handmatig,
May,Mei,
Medium,Medium,
Meeting,Vergadering,
Meetup Embed HTML,Meetup HTML Insluiten,
Member ID,Lid-ID,
Member Name,Lid Naam,
Member Since,Lid Sinds,
Members,Leden,
Membership,Lidmaatschap,
Membership Details,Lidmaatschap Details,
Membership Print Format,Lidmaatschap Afdrukformaat,
Membership Settings,Lidmaatschapsinstellingen,
Membership Status,Lidmaatschapsstatus,
Membership Type,Lidmaatschaptype,
Message,Bericht,
Method,Methode,
Middle Name,Tweede Naam,
Missed,Gemist,
Mode of Payment,Betalingswijze,
Month,Maand,
Monthly,Maandelijks,
Months,Maanden,
Name,Naam,
Naming Series,Nummerreeks,
Netherlands,Netherlands,
New,Nieuw,
No,Nee,
None,Geen,
Normal,Normaal,
Notes,Opmerkingen,
Notification,Kennisgeving,
Objectives,Doelen,
Occupation,Beroep,
On Hold,In De Wacht,
On Leave,Met Verlof,
Onboarding,Onboarding,
Ongoing,Voortgaande,
Open,Open,
Operation ID,Bewerkings-ID,
Operations,Bewerkingen,
Organization,Organisatie,
Other,Ander,
Outstanding,Openstaand,
Outstanding Amount,Openstaand Bedrag,
Overdue,Achterstallig,
Paid,Betaald,
Paid Amount,Betaald Bedrag,
Partially Fulfilled,Gedeeltelijk Vervuld,
Partially Paid,Gedeeltelijk Betaald,
Passed,Geslaagd,
Payment,Betaling,
Payment Account,Betaalrekening,
Payment Entry,Betalingsinvoer,
Payment ID,Betaal-ID,
Payment Method,Betalingswijze,
Payment Methods,Betaalmethodes,
Payment Plan,Betaalplan,
Payment Reference,Betalingsreferentie,
Payment Schedule,Betalingsschema,
Payment Terms Template,Betalingscondities Sjabloon,
Payments,Betalingen,
Pending,In Afwachting,
Pending Amount,Bedrag In Afwachting,
Pending Approval,In Afwachting van Goedkeuring,
Pending Review,In Afwachting van Beoordeling,
Pending Verification,Wachten op Verificatie,
Period,Periode,
Personal Details,Persoonlijke Gegevens,
Personal Email,Persoonlijk E-mailadres,
Phone,Telefoon,
Phone Number,Telefoonnummer,
Portal,Portaal,
Postal Code,Postcode,
Prefer not to say,Zeg ik liever niet,
Present,Presenteer,
Preview,Voorbeeld,
Primary,Primair,
Primary Color,Primaire Kleur,
Print,Afdrukken,
Priority,Prioriteit,
Private,Privé,
Processing,Verwerken,
Progress,Vooruitgang,
Project,Project,
Project Name,Projectnaam,
Public,Publiek,
Published,Gepubliceerd,
Purpose,Doel,
Quarterly,Driemaandelijks,
Queued,Wachtrij,
Reason,Reden,
Receipt,Ontvangst,
Recipient,Ontvanger,
Recipients,Ontvangers,
Reconciled,Verzoend,
Reference,Referentie,
Reference DocType,Referentie DocType,
Reference Document,Referentie Document,
Reference Name,Referentienaam,
Reference Number,Referentienummer,
Reference Type,Referentie Type,
Region,Regio,
Regular,Regulier,
Reject,Afwijzen,
Rejected,Afgewezen,
Reload,Herladen,
Remaining Balance,Resterende Saldo,
Remote,Op Afstand,
Report Name,Rapportnaam,
Request Type,Aanvraagtype,
Requested,Aangevraagd,
Requested Amount,Gevraagd Bedrag,
Resolution,Oplossing,
Resolved,Opgelost,
Retry,Opnieuw Proberen,
Review,Beoordeling,
Review Date,Herzieningsdatum,
Role,Rol,
Role Name,Rolnaam,
Role Profile,Rolprofiel,
Route,Route,
Rule Name,Regelnaam,
SMS,SMS,
Sales Invoice,Verkoopfactuur,
Salutation,Aanhef,
Sample,Monster,
Schedule,Plan,
Schedule Name,Schema Naam,
Scheduled,Gepland,
Scope,Bereik,
Search,Zoek,
Security,Beveiliging,
Select Date Range,Selecteer Datumbereik,
Send After,Stuur Na,
Send Email,E-mail Verzenden,
Send Invoice with Email,Stuur Factuur met E-mail,
Send Membership Acknowledgement,Stuur Lidmaatschap Bevestiging,
Send System Notification,Systeemmelding Verzenden,
Send Welcome Email,Stuur Welkom Email,
Series,Reeksen,
Session Defaults,Sessie Standaardwaarden,
Settings,Instellingen,
Show on Website,Tonen op Website,
Skill,Vaardigheid,
Skill Name,Vaardigheidsnaam,
Skills,Vaardigheden,
Source,Bron,
Standard,Standaard,
Start Date,Startdatum,
Started,Begonnen,
State/Province,Staat/Provincie,
Status,Status,
Subject,Onderwerp,
Submit,Indienen,
Submitted,Ingediend,
Success,Succes,
Successful,Succesvol,
Suspended,Geschorst,
Synced,Gesynchroniseerd,
System Manager,Systeembeheerder,
Target,Doel,
Team,Team,
Team Member,Teamlid,
Team Members,Teamleden,
Terms and Conditions,Algemene Voorwaarden,
Test,Test,
Threshold,Drempel,
Tier Name,Tiernaam,
Time,Tijd,
Time Zone,Tijdzone,
Timestamp,Timestamp,
Title,Titel,
To,Naar,
To Date,Tot Datum,
Tools,Tools,
Total,Totaal,
Total Amount,Totaal Bedrag,
Total Revenue,Totale Omzet,
Total Subscribers,Totaal Abonnees,
Tracking,Volgen,
Training,Opleiding,
Transaction Date,Transactiedatum,
Translation,Vertaling,
Type,Type,
Unpaid,Onbetaald,
Unsubscribed,Uitgeschreven,
Update,Bijwerken,
Update Field,Veld Bijwerken,
Urgent,Dringend,
User,Gebruiker,
User Agent,User Agent,
User Name,Gebruikersnaam,
User Type,Gebruikerstype,
Valid From,Geldig Vanaf,
Validity,Geldigheid,
Variable,Variabele,
View,Weergeven,
View Report,Bekijk Rapport,
View Website,Bekijk Website,
Visit,Bezoeken,
Volunteer,Vrijwilliger,
Volunteer Name,Vrijwilliger Naam,
Volunteer Skill,Vrijwilliger Vaardigheid,
Warning,Waarschuwing,
Webhook ID,Webhook ID,
Webhook Secret,Webhook Secret,
Webhook URL,Webhook-URL,
Website URL,Website URL,
Weekly,Wekelijks,
Workflow State,Workflowstatus,
Workshop,Workshop,
Year,Jaar,
Yearly,Jaarlijks,
Yes,Ja,
success,succes,
